;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
818;203 000 км;Ford Focus I Рестайлинг;200 000 ₽;2004;автомат;универсал 5 дв.;передний;красный;2.0 л/131л.с./Бензин
819;168 125 км;Ford Focus III;405 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
820;117 000 км;Ford Focus III;535 000 ₽;2011;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
821;197 000 км;Ford Focus III;369 700 ₽;2012;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
822;163 000 км;Ford Focus II Рестайлинг;355 000 ₽;2008;механика;хэтчбек 3 дв.;передний;белый;1.6 л/100л.с./Бензин
823;147 000 км;Ford Focus III;545 000 ₽;2013;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
824;27 000 км;Ford Focus III Рестайлинг;901 250 ₽;2016;робот;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
825;169 000 км;Ford Focus II;340 000 ₽;2006;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
826;58 000 км;Ford Focus III;635 000 ₽;2014;робот;седан;передний;пурпурный;1.6 л/105л.с./Бензин
827;117 000 км;Ford Focus II Рестайлинг;360 000 ₽;2008;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
828;175 731 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;седан;передний;серый;2.0 л/145л.с./Бензин
829;143 850 км;Ford Focus II Рестайлинг;370 000 ₽;2008;механика;седан;передний;серый;1.8 л/125л.с./Бензин
830;130 000 км;Ford Focus III Рестайлинг;589 000 ₽;2016;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
831;131 000 км;Ford Focus II Рестайлинг;465 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;чёрный;2.0 л/145л.с./Бензин
832;101 200 км;Ford Focus III;579 000 ₽;2012;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
833;120 000 км;Ford Focus III Рестайлинг;680 000 ₽;2016;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
834;54 000 км;Ford Focus III Рестайлинг;800 000 ₽;2016;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
835;217 558 км;Ford Focus II Рестайлинг;320 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
836;75 291 км;Ford Focus III;552 000 ₽;2014;робот;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
837;157 000 км;Ford Focus I Рестайлинг;220 000 ₽;2005;механика;седан;передний;серебристый;1.6 л/98л.с./Бензин
838;139 840 км;Ford Focus III;599 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
839;62 907 км;Ford Focus III Рестайлинг;719 000 ₽;2017;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
840;93 897 км;Ford Focus III Рестайлинг;769 000 ₽;2015;автомат;хэтчбек 5 дв.;передний;серый;1.5 л/150л.с./Бензин
841;76 000 км;Ford Focus III Рестайлинг;700 000 ₽;2016;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
842;157 170 км;Ford Focus II Рестайлинг;267 000 ₽;2008;механика;хэтчбек 5 дв.;передний;оранжевый;1.4 л/80л.с./Бензин
843;340 000 км;Ford Focus I;155 000 ₽;2000;автомат;универсал 5 дв.;передний;синий;2.0 л/131л.с./Бензин
844;218 000 км;Ford Focus II Рестайлинг;309 000 ₽;2008;механика;седан;передний;чёрный;1.6 л/100л.с./Бензин
845;225 000 км;Ford Focus I Рестайлинг;195 000 ₽;2002;механика;универсал 5 дв.;передний;серебристый;1.8 л/90л.с./Дизель
846;154 000 км;Ford Focus II Рестайлинг;379 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
847;185 000 км;Ford Focus III;320 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
848;231 002 км;Ford Focus III;455 000 ₽;2011;робот;седан;передний;серый;1.6 л/125л.с./Бензин
849;204 157 км;Ford Focus II;340 000 ₽;2008;механика;хэтчбек 5 дв.;передний;оранжевый;1.8 л/125л.с./Бензин
850;207 000 км;Ford Focus II Рестайлинг;460 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
851;171 000 км;Ford Focus III;495 000 ₽;2012;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
852;102 574 км;Ford Focus III;445 000 ₽;2013;механика;универсал 5 дв.;передний;коричневый;1.6 л/105л.с./Бензин
853;182 000 км;Ford Focus II Рестайлинг;260 000 ₽;2007;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
854;125 000 км;Ford Focus III;570 000 ₽;2013;механика;седан;передний;белый;1.6 л/125л.с./Бензин
855;150 000 км;Ford Focus III;505 000 ₽;2013;робот;универсал 5 дв.;передний;чёрный;2.0 л/150л.с./Бензин
856;45 500 км;Ford Focus III;629 900 ₽;2013;механика;седан;передний;синий;1.6 л/85л.с./Бензин
857;242 000 км;Ford Focus II Рестайлинг;190 000 ₽;2007;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
858;29 000 км;Ford Focus III;598 000 ₽;2012;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
859;38 133 км;Ford Focus III Рестайлинг;775 000 ₽;2017;механика;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
860;81 532 км;Ford Focus III Рестайлинг;890 000 ₽;2017;автомат;универсал 5 дв.;передний;серый;1.5 л/150л.с./Бензин
861;132 000 км;Ford Focus II Рестайлинг;370 000 ₽;2008;механика;хэтчбек 5 дв.;передний;красный;2.0 л/145л.с./Бензин
862;135 304 км;Ford Focus III;499 000 ₽;2013;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
863;170 000 км;Ford Focus II;280 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/100л.с./Бензин
864;116 808 км;Ford Focus III;599 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
865;82 196 км;Ford Focus III;517 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;1.6 л/125л.с./Бензин
866;58 758 км;Ford Focus III Рестайлинг;770 000 ₽;2018;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
867;98 400 км;Ford Focus III;575 000 ₽;2014;механика;универсал 5 дв.;передний;синий;1.6 л/105л.с./Бензин
868;79 000 км;Ford Focus III;525 000 ₽;2012;механика;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
869;170 000 км;Ford Focus III;630 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
870;41 191 км;Ford Focus III;589 000 ₽;2012;робот;хэтчбек 5 дв.;передний;голубой;1.6 л/105л.с./Бензин
871;99 000 км;Ford Focus II Рестайлинг;369 000 ₽;2010;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
872;141 212 км;Ford Focus III;425 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
873;135 000 км;Ford Focus III;450 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
874;90 000 км;Ford Focus III Рестайлинг;835 000 ₽;2017;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
875;188 094 км;Ford Focus II Рестайлинг;455 000 ₽;2010;автомат;седан;передний;серый;2.0 л/145л.с./Бензин
876;198 000 км;Ford Focus III;555 000 ₽;2013;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
877;189 000 км;Ford Focus II;245 000 ₽;2006;механика;седан;передний;синий;2.0 л/145л.с./Бензин
878;161 952 км;Ford Focus II;350 000 ₽;2007;механика;универсал 5 дв.;передний;белый;1.6 л/100л.с./Бензин
879;189 000 км;Ford Focus III;580 000 ₽;2012;робот;хэтчбек 5 дв.;передний;синий;2.0 л/150л.с./Бензин
880;60 000 км;Ford Focus III;620 000 ₽;2011;механика;седан;передний;серебристый;1.6 л/105л.с./Бензин
881;165 000 км;Ford Focus III;600 000 ₽;2013;робот;седан;передний;серый;2.0 л/150л.с./Бензин
882;209 900 км;Ford Focus III;360 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.6 л/105л.с./Бензин
883;132 000 км;Ford Focus II Рестайлинг;420 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/115л.с./Бензин
884;212 100 км;Ford Focus III;410 000 ₽;2012;механика;седан;передний;серебристый;1.6 л/105л.с./Бензин
885;255 376 км;Ford Focus II;320 000 ₽;2005;автомат;хэтчбек 3 дв.;передний;голубой;1.6 л/100л.с./Бензин
886;155 000 км;Ford Focus II Рестайлинг;355 000 ₽;2009;автомат;универсал 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
887;113 500 км;Ford Focus III;540 000 ₽;2014;механика;седан;передний;белый;1.6 л/105л.с./Бензин
888;186 650 км;Ford Focus II;233 000 ₽;2006;механика;хэтчбек 5 дв.;передний;белый;1.6 л/115л.с./Бензин
889;154 201 км;Ford Focus II;290 000 ₽;2008;механика;седан;передний;синий;1.6 л/115л.с./Бензин
890;25 000 км;Ford Focus III Рестайлинг;1 050 000 ₽;2018;робот;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
891;128 000 км;Ford Focus III;635 000 ₽;2014;робот;седан;передний;синий;1.6 л/125л.с./Бензин
892;286 000 км;Ford Focus I;130 000 ₽;1999;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
893;152 400 км;Ford Focus III;470 000 ₽;2011;робот;хэтчбек 5 дв.;передний;синий;1.6 л/125л.с./Бензин
894;118 282 км;Ford Focus II;270 000 ₽;2007;механика;седан;передний;чёрный;2.0 л/145л.с./Бензин
895;250 000 км;Ford Focus I Рестайлинг;100 000 ₽;2002;механика;хэтчбек 5 дв.;передний;красный;1.6 л/98л.с./Бензин
896;150 000 км;Ford Focus II;295 000 ₽;2007;автомат;хэтчбек 3 дв.;передний;голубой;2.0 л/145л.с./Бензин
897;131 000 км;Ford Focus III;550 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
898;104 991 км;Ford Focus II Рестайлинг;330 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;1.6 л/115л.с./Бензин
899;210 000 км;Ford Focus II Рестайлинг;295 000 ₽;2007;механика;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
900;90 258 км;Ford Focus III Рестайлинг;683 000 ₽;2015;робот;седан;передний;бежевый;1.6 л/125л.с./Бензин
901;181 000 км;Ford Focus II;290 000 ₽;2007;механика;хэтчбек 3 дв.;передний;синий;1.8 л/125л.с./Бензин
902;165 000 км;Ford Focus II Рестайлинг;399 999 ₽;2011;механика;седан;передний;серый;1.6 л/100л.с./Бензин
903;113 608 км;Ford Focus III;589 000 ₽;2013;робот;хэтчбек 5 дв.;передний;серебристый;1.6 л/125л.с./Бензин
904;76 300 км;Ford Focus III;560 000 ₽;2013;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
905;18 787 км;Ford Focus III Рестайлинг;1 220 000 ₽;2019;робот;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
906;380 000 км;Ford Focus II;320 000 ₽;2005;механика;седан;передний;серебристый;2.0 л/145л.с./Бензин
907;55 992 км;Ford Focus III Рестайлинг;775 000 ₽;2017;робот;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
908;89 696 км;Ford Focus III;559 000 ₽;2014;механика;универсал 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
909;216 000 км;Ford Focus II;237 777 ₽;2006;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
910;188 000 км;Ford Focus II;330 000 ₽;2007;механика;хэтчбек 5 дв.;передний;белый;1.8 л/125л.с./Бензин
911;185 949 км;Ford Focus III;475 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
912;121 947 км;Ford Focus III;475 000 ₽;2012;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
913;88 056 км;Ford Focus III Рестайлинг;750 000 ₽;2018;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
914;118 500 км;Ford Focus III;473 000 ₽;2012;механика;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
915;125 506 км;Ford Focus III;497 000 ₽;2012;робот;универсал 5 дв.;передний;серый;1.6 л/125л.с./Бензин
916;27 900 км;Ford Focus III Рестайлинг;834 000 ₽;2017;механика;седан;передний;синий;1.6 л/105л.с./Бензин
917;170 000 км;Ford Focus III;450 000 ₽;2012;механика;седан;передний;чёрный;1.6 л/85л.с./Бензин
918;79 723 км;Ford Focus III Рестайлинг;789 000 ₽;2017;механика;седан;передний;белый;1.6 л/125л.с./Бензин
919;84 120 км;Ford Focus III;570 000 ₽;2012;робот;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
920;140 000 км;Ford Focus III;495 000 ₽;2011;робот;хэтчбек 5 дв.;передний;голубой;1.6 л/125л.с./Бензин
921;217 457 км;Ford Focus II Рестайлинг;469 000 ₽;2011;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
922;170 000 км;Ford Focus II Рестайлинг;450 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;чёрный;2.0 л/145л.с./Бензин
923;149 000 км;Ford Focus III;450 000 ₽;2013;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
924;191 120 км;Ford Focus II;284 000 ₽;2006;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
925;175 000 км;Ford Focus III;475 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
926;171 000 км;Ford Focus II Рестайлинг;410 000 ₽;2010;автомат;седан;передний;синий;1.6 л/100л.с./Бензин
927;71 000 км;Ford Focus III;575 000 ₽;2012;робот;универсал 5 дв.;передний;серый;1.6 л/125л.с./Бензин
928;140 000 км;Ford Focus II Рестайлинг;430 000 ₽;2009;автомат;седан;передний;серый;2.0 л/145л.с./Бензин
929;180 000 км;Ford Focus II Рестайлинг;450 000 ₽;2010;механика;универсал 5 дв.;передний;серебристый;2.0 л/145л.с./Бензин
930;166 880 км;Ford Focus III;513 000 ₽;2013;робот;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
931;141 000 км;Ford Focus III;440 000 ₽;2011;механика;седан;передний;белый;1.6 л/105л.с./Бензин
932;177 000 км;Ford Focus II Рестайлинг;275 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
933;144 500 км;Ford Focus III;579 000 ₽;2012;механика;седан;передний;голубой;1.6 л/105л.с./Бензин
934;93 326 км;Ford Focus III;599 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серый;2.0 л/150л.с./Бензин
935;95 000 км;Ford Focus III Рестайлинг;595 000 ₽;2014;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
936;90 000 км;Ford Focus III Рестайлинг;725 000 ₽;2017;робот;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
937;150 000 км;Ford Focus III;499 999 ₽;2013;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
938;126 000 км;Ford Focus III;547 000 ₽;2013;робот;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
939;101 256 км;Ford Focus III;649 000 ₽;2014;робот;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
940;117 000 км;Ford Focus III;517 000 ₽;2012;робот;седан;передний;синий;1.6 л/105л.с./Бензин
941;46 000 км;Ford Focus III Рестайлинг;697 000 ₽;2016;робот;седан;передний;серебристый;1.6 л/105л.с./Бензин
942;142 000 км;Ford Focus III;577 000 ₽;2012;робот;седан;передний;белый;2.0 л/150л.с./Бензин
943;112 000 км;Ford Focus III;547 000 ₽;2014;робот;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
944;47 934 км;Ford Focus III Рестайлинг;775 000 ₽;2016;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
945;172 086 км;Ford Focus III;499 000 ₽;2012;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
946;221 000 км;Ford Focus II Рестайлинг;430 000 ₽;2010;автомат;седан;передний;серебристый;2.0 л/145л.с./Бензин
947;301 478 км;Ford Focus I Рестайлинг;184 000 ₽;2004;механика;седан;передний;зелёный;1.6 л/98л.с./Бензин
948;130 000 км;Ford Focus III;485 000 ₽;2012;механика;седан;передний;красный;1.6 л/125л.с./Бензин
949;145 900 км;Ford Focus II Рестайлинг;449 000 ₽;2011;механика;седан;передний;чёрный;1.4 л/80л.с./Бензин
950;156 000 км;Ford Focus III;550 000 ₽;2011;механика;хэтчбек 5 дв.;передний;коричневый;1.6 л/105л.с./Бензин
951;150 000 км;Ford Focus I Рестайлинг;140 000 ₽;2003;механика;седан;передний;синий;1.6 л/98л.с./Бензин
952;88 548 км;Ford Focus III Рестайлинг;645 000 ₽;2015;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
953;37 500 км;Ford Focus III Рестайлинг;1 099 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;чёрный;1.5 л/150л.с./Бензин
954;94 320 км;Ford Focus II Рестайлинг;425 000 ₽;2011;механика;хэтчбек 3 дв.;передний;белый;1.6 л/100л.с./Бензин
955;77 845 км;Ford Focus III;589 000 ₽;2012;робот;хэтчбек 5 дв.;передний;коричневый;1.6 л/125л.с./Бензин
956;131 000 км;Ford Focus III;470 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
957;160 000 км;Ford Focus II Рестайлинг;271 000 ₽;2008;механика;хэтчбек 5 дв.;передний;белый;1.8 л/125л.с./Бензин
958;169 000 км;Ford Focus I Рестайлинг;150 000 ₽;2001;автомат;универсал 5 дв.;передний;красный;2.0 л/131л.с./Бензин
959;189 000 км;Ford Focus II Рестайлинг;429 000 ₽;2010;механика;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
960;138 700 км;Ford Focus II Рестайлинг;355 000 ₽;2008;механика;седан;передний;серый;1.8 л/125л.с./Бензин
961;260 000 км;Ford Focus II Рестайлинг;350 000 ₽;2009;механика;хэтчбек 5 дв.;передний;чёрный;2.0 л/145л.с./Бензин
962;107 000 км;Ford Focus III Рестайлинг;765 000 ₽;2017;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
963;239 372 км;Ford Focus I Рестайлинг;175 000 ₽;2004;механика;седан;передний;голубой;1.8 л/115л.с./Бензин
964;26 549 км;Ford Focus III Рестайлинг;869 000 ₽;2018;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
965;260 000 км;Ford Focus II Рестайлинг;210 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
966;169 500 км;Ford Focus II Рестайлинг;399 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/115л.с./Бензин
967;128 000 км;Ford Focus III;528 000 ₽;2014;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
968;227 612 км;Ford Focus II;309 000 ₽;2007;автомат;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
969;230 000 км;Ford Focus II Рестайлинг;430 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серый;1.8 л/125л.с./Бензин
970;166 800 км;Ford Focus II;299 000 ₽;2006;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
971;111 000 км;Ford Focus III;599 000 ₽;2013;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
972;255 000 км;Ford Focus II;310 000 ₽;2007;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
973;162 950 км;Ford Focus III Рестайлинг;625 000 ₽;2015;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
974;155 987 км;Ford Focus II;375 000 ₽;2007;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
975;180 000 км;Ford Focus II;360 000 ₽;2007;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
976;156 000 км;Ford Focus III;490 000 ₽;2012;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
977;240 000 км;Ford Focus I Рестайлинг;179 000 ₽;2004;механика;хэтчбек 5 дв.;передний;белый;1.6 л/98л.с./Бензин
978;204 487 км;Ford Focus I Рестайлинг;165 000 ₽;2004;механика;седан;передний;синий;1.8 л/115л.с./Бензин
979;185 000 км;Ford Focus II Рестайлинг;435 000 ₽;2009;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
980;113 000 км;Ford Focus II Рестайлинг;390 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
981;288 824 км;Ford Focus II;239 000 ₽;2007;механика;седан;передний;чёрный;1.8 л/116л.с./Дизель
982;239 000 км;Ford Focus II Рестайлинг;345 000 ₽;2008;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
983;109 000 км;Ford Focus III;499 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
984;230 000 км;Ford Focus II Рестайлинг;499 000 ₽;2008;механика;хэтчбек 5 дв.;передний;голубой;2.0 л/145л.с./Бензин
985;242 400 км;Ford Focus II;270 000 ₽;2006;механика;седан;передний;голубой;1.8 л/116л.с./Дизель
986;109 000 км;Ford Focus III;519 000 ₽;2012;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
987;28 947 км;Ford Focus III Рестайлинг;1 003 000 ₽;2018;робот;хэтчбек 5 дв.;передний;красный;1.6 л/125л.с./Бензин
988;77 600 км;Ford Focus III;580 000 ₽;2013;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
989;224 792 км;Ford Focus II;270 000 ₽;2006;механика;универсал 5 дв.;передний;серебристый;1.6 л/115л.с./Бензин
990;116 800 км;Ford Focus III Рестайлинг;799 000 ₽;2015;механика;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
991;248 000 км;Ford Focus II Рестайлинг;359 000 ₽;2009;механика;седан;передний;серый;1.6 л/100л.с./Бензин
992;227 000 км;Ford Focus II;295 000 ₽;2008;механика;седан;передний;синий;1.8 л/125л.с./Бензин
993;134 000 км;Ford Focus III;470 000 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
994;206 000 км;Ford Focus II Рестайлинг;340 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серый;1.8 л/116л.с./Дизель
995;160 000 км;Ford Focus I;130 000 ₽;2001;автомат;седан;передний;зелёный;2.0 л/131л.с./Бензин
996;198 504 км;Ford Focus II;345 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
997;166 000 км;Ford Focus III;509 900 ₽;2011;робот;хэтчбек 5 дв.;передний;коричневый;1.6 л/125л.с./Бензин
998;122 000 км;Ford Focus III;460 000 ₽;2013;механика;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
999;133 674 км;Ford Focus II Рестайлинг;349 000 ₽;2009;механика;седан;передний;серый;1.6 л/100л.с./Бензин
1000;163 804 км;Ford Focus II Рестайлинг;447 000 ₽;2010;механика;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
1001;141 000 км;Ford Focus II Рестайлинг;350 000 ₽;2009;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
1002;92 453 км;Ford Focus III;609 000 ₽;2014;робот;универсал 5 дв.;передний;серый;2.0 л/150л.с./Бензин
1003;33 405 км;Ford Focus III Рестайлинг;960 000 ₽;2018;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1004;145 000 км;Ford Focus II;290 000 ₽;2006;механика;хэтчбек 5 дв.;передний;красный;1.6 л/115л.с./Бензин
1005;261 000 км;Ford Focus II;180 000 ₽;2006;механика;седан;передний;синий;1.4 л/80л.с./Бензин
1006;134 000 км;Ford Focus III;520 000 ₽;2014;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
1007;188 252 км;Ford Focus III;500 000 ₽;2011;механика;седан;передний;белый;1.6 л/105л.с./Бензин
1008;227 000 км;Ford Focus I Рестайлинг;185 000 ₽;2001;механика;хэтчбек 3 дв.;передний;чёрный;1.4 л/75л.с./Бензин
1009;129 000 км;Ford Focus II Рестайлинг;370 000 ₽;2010;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
1010;204 000 км;Ford Focus I Рестайлинг;147 000 ₽;2004;механика;хэтчбек 5 дв.;передний;серый;1.8 л/115л.с./Бензин
1011;121 000 км;Ford Focus I Рестайлинг;270 000 ₽;2004;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/115л.с./Бензин
1012;122 000 км;Ford Focus III Рестайлинг;530 000 ₽;2017;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1013;182 000 км;Ford Focus II;260 000 ₽;2007;механика;седан;передний;синий;1.8 л/125л.с./Бензин
1014;141 444 км;Ford Focus III;555 000 ₽;2013;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
1015;105 000 км;Ford Focus II;330 000 ₽;2006;механика;хэтчбек 5 дв.;передний;голубой;1.6 л/100л.с./Бензин
1016;145 000 км;Ford Focus II Рестайлинг;355 000 ₽;2010;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
1017;107 000 км;Ford Focus III;600 000 ₽;2014;механика;седан;передний;коричневый;1.6 л/105л.с./Бензин
1018;83 000 км;Ford Focus III;640 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
1019;210 000 км;Ford Focus II;245 000 ₽;2006;механика;хэтчбек 3 дв.;передний;чёрный;1.8 л/125л.с./Бензин
1020;111 000 км;Ford Focus III;530 000 ₽;2012;механика;седан;передний;синий;1.6 л/105л.с./Бензин
1021;149 000 км;Ford Focus III;590 000 ₽;2013;робот;хэтчбек 5 дв.;передний;коричневый;1.6 л/105л.с./Бензин
1022;190 000 км;Ford Focus III;440 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1023;90 000 км;Ford Focus III;490 000 ₽;2013;механика;хэтчбек 5 дв.;передний;синий;1.6 л/105л.с./Бензин
1024;150 000 км;Ford Focus III;475 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
1025;250 000 км;Ford Focus II Рестайлинг;240 000 ₽;2009;механика;седан;передний;белый;1.6 л/100л.с./Бензин
1026;230 000 км;Ford Focus II Рестайлинг;371 000 ₽;2007;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
1027;100 000 км;Ford Focus I Рестайлинг;145 000 ₽;2003;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/115л.с./Бензин
1028;200 000 км;Ford Focus III;500 000 ₽;2014;робот;хэтчбек 5 дв.;передний;чёрный;2.0 л/150л.с./Бензин
1029;180 000 км;Ford Focus II Рестайлинг;353 000 ₽;2008;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
1030;174 000 км;Ford Focus II;245 000 ₽;2007;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
1031;190 000 км;Ford Focus III;519 900 ₽;2012;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
