;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
1599;89 000 км;Ford Focus III Рестайлинг;955 000 ₽;2016;автомат;хэтчбек 5 дв.;передний;синий;1.5 л/150л.с./Бензин
1600;50 000 км;Ford Focus I;120 000 ₽;2000;автомат;седан;передний;серебристый;2.0 л/131л.с./Бензин
1601;188 151 км;Ford Focus II;285 000 ₽;2005;механика;хэтчбек 5 дв.;передний;синий;1.8 л/116л.с./Дизель
1602;168 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;автомат;седан;передний;чёрный;1.6 л/100л.с./Бензин
1603;149 700 км;Ford Focus III;560 000 ₽;2012;робот;универсал 5 дв.;передний;красный;1.6 л/105л.с./Бензин
1604;120 000 км;Ford Focus III;502 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1605;183 000 км;Ford Focus III;650 000 ₽;2012;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
1606;148 000 км;Ford Focus I Рестайлинг;160 000 ₽;2003;автомат;седан;передний;синий;2.0 л/130л.с./Бензин
1607;160 000 км;Ford Focus III;500 000 ₽;2012;механика;седан;передний;серый;1.6 л/105л.с./Бензин
1608;240 000 км;Ford Focus I Рестайлинг;135 000 ₽;2003;механика;седан;передний;синий;1.4 л/75л.с./Бензин
1609;208 000 км;Ford Focus II Рестайлинг;380 000 ₽;2009;механика;хэтчбек 3 дв.;передний;чёрный;1.8 л/125л.с./Бензин
1610;123 302 км;Ford Focus III;535 000 ₽;2012;механика;седан;передний;чёрный;1.6 л/125л.с./Бензин
1611;150 057 км;Ford Focus III;587 000 ₽;2012;робот;седан;передний;белый;2.0 л/150л.с./Бензин
1612;147 000 км;Ford Focus III;490 000 ₽;2015;робот;седан;передний;белый;1.6 л/105л.с./Бензин
1613;42 310 км;Ford Focus III Рестайлинг;1 007 000 ₽;2019;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
1614;167 500 км;Ford Focus III;450 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1615;156 000 км;Ford Focus II Рестайлинг;390 000 ₽;2008;автомат;седан;передний;чёрный;1.6 л/100л.с./Бензин
1616;162 301 км;Ford Focus II Рестайлинг;399 000 ₽;2008;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
1617;152 000 км;Ford Focus III;425 000 ₽;2011;механика;седан;передний;белый;1.6 л/105л.с./Бензин
1618;186 000 км;Ford Focus II;258 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
1619;101 000 км;Ford Focus III;595 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
1620;230 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 3 дв.;передний;красный;2.0 л/145л.с./Бензин
1621;88 000 км;Ford Focus III;550 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;1.6 л/105л.с./Бензин
1622;180 600 км;Ford Focus II Рестайлинг;335 000 ₽;2009;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
1623;164 000 км;Ford Focus II Рестайлинг;370 000 ₽;2010;механика;хэтчбек 5 дв.;передний;красный;1.8 л/125л.с./Бензин
1624;159 900 км;Ford Focus III;840 000 ₽;2014;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
1625;162 000 км;Ford Focus III;680 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
1626;98 000 км;Ford Focus III;550 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
1627;231 000 км;Ford Focus II;250 000 ₽;2006;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
1628;24 000 км;Ford Focus III Рестайлинг;880 000 ₽;2018;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1629;248 592 км;Ford Focus II Рестайлинг;295 000 ₽;2008;механика;седан;передний;чёрный;2.0 л/145л.с./Бензин
1630;127 447 км;Ford Focus III;620 000 ₽;2014;робот;универсал 5 дв.;передний;коричневый;2.0 л/150л.с./Бензин
1631;77 000 км;Ford Focus III;565 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1632;162 000 км;Ford Focus II;300 000 ₽;2006;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
1633;161 000 км;Ford Focus II Рестайлинг;440 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серый;2.0 л/145л.с./Бензин
1634;123 000 км;Ford Focus III Рестайлинг;820 000 ₽;2016;робот;хэтчбек 5 дв.;передний;синий;1.6 л/125л.с./Бензин
1635;74 781 км;Ford Focus III;540 000 ₽;2014;робот;хэтчбек 5 дв.;передний;красный;1.6 л/105л.с./Бензин
1636;140 000 км;Ford Focus III;520 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;1.6 л/125л.с./Бензин
1637;117 000 км;Ford Focus III;495 000 ₽;2013;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
1638;125 000 км;Ford Focus III;500 000 ₽;2013;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
1639;149 000 км;Ford Focus III;650 000 ₽;2011;механика;хэтчбек 5 дв.;передний;коричневый;1.6 л/125л.с./Бензин
1640;62 923 км;Ford Focus III Рестайлинг;779 897 ₽;2017;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1641;148 000 км;Ford Focus III Рестайлинг;600 000 ₽;2016;механика;универсал 5 дв.;передний;жёлтый;1.6 л/105л.с./Бензин
1642;146 000 км;Ford Focus III;565 000 ₽;2013;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
1643;97 000 км;Ford Focus III;600 000 ₽;2013;робот;седан;передний;белый;2.0 л/150л.с./Бензин
1644;314 000 км;Ford Focus II;230 000 ₽;2007;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
1645;324 750 км;Ford Focus II;300 000 ₽;2006;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
1646;230 000 км;Ford Focus II;148 500 ₽;2005;механика;хэтчбек 3 дв.;передний;синий;1.4 л/80л.с./Бензин
1647;136 000 км;Ford Focus II;349 000 ₽;2007;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/115л.с./Бензин
1648;210 000 км;Ford Focus II;230 000 ₽;2006;механика;седан;передний;серебристый;1.4 л/80л.с./Бензин
1649;280 000 км;Ford Focus II;270 090 ₽;2006;механика;хэтчбек 5 дв.;передний;красный;1.8 л/125л.с./Бензин
1650;114 027 км;Ford Focus III;550 000 ₽;2014;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1651;180 000 км;Ford Focus III Рестайлинг;550 000 ₽;2017;робот;универсал 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
1652;170 000 км;Ford Focus III;510 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
1653;250 000 км;Ford Focus II Рестайлинг;350 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
1654;60 600 км;Ford Focus III;650 000 ₽;2012;робот;хэтчбек 5 дв.;передний;коричневый;2.0 л/150л.с./Бензин
